Year ,Term ,Branch ,Sem ,Responce_Count ,Term_Start ,Term_End ,Subject_Code ,Subject_ShortForm ,Subject_FullName ,Faculty_Initial ,Faculty_Name ,
2024,Odd,EC,1,,22/07/24,07/12/24,DI01000021,Maths, Mathematics-I,CPG,Mr. C P Gehlot,DI01000021:  Mathematics-I By Mr. C P Gehlot
2024,Odd,EC,1,,22/07/24,07/12/24,DI01000021,Maths, Mathematics-I,DSG,Ms. D S Gami,DI01000021:  Mathematics-I By Ms. D S Gami
2024,Odd,EC,1,,22/07/24,07/12/24,DI01000031,CS, Communication Skills in English,CSP,Mr. C S Pandya,DI01000031:  Communication Skills in English By Mr. C S Pandya
2024,Odd,EC,1,,22/07/24,07/12/24,DI01000031,CS, Communication Skills in English,CMA,Mr. C M Amin,DI01000031:  Communication Skills in English By Mr. C M Amin
2024,Odd,EC,1,,22/07/24,07/12/24,DI01000041,S&Y, Sports and Yoga,SPM,Mr. S P Mahant,DI01000041:  Sports and Yoga By Mr. S P Mahant
2024,Odd,EC,1,,22/07/24,07/12/24,DI01000051,FE, Fundamentals of Electronics,LKP,Mr. L K Patel,DI01000051:  Fundamentals of Electronics By Mr. L K Patel
2024,Odd,EC,1,,22/07/24,07/12/24,DI01000061,Physics, Modern Physics,BBM,Mr. B B Mor,DI01000061:  Modern Physics By Mr. B B Mor
2024,Odd,EC,1,,22/07/24,07/12/24,DI01000091,FICT, Fundamentals of Information and Communication Technology,SPJ,Mr. S P Joshiara,DI01000091:  Fundamentals of Information and Communication Technology By Mr. S P Joshiara
2024,Odd,EC,1,,22/07/24,07/12/24,DI01000091,FICT, Fundamentals of Information and Communication Technology,RNP,Mr. R N Patel,DI01000091:  Fundamentals of Information and Communication Technology By Mr. R N Patel
2024,Odd,EC,1,,22/07/24,07/12/24,DI01000101,FEE, Fundamentals of Electrical Engineering,AMQ,Mr. A M Quershi,DI01000101:  Fundamentals of Electrical Engineering By Mr. A M Quershi
2024,Odd,EC,1,,22/07/24,07/12/24,DI01000101,FEE, Fundamentals of Electrical Engineering,RMP,Mr. R M Prajapati,DI01000101:  Fundamentals of Electrical Engineering By Mr. R M Prajapati
2024,Odd,EC,3,,27/06/24,25/10/24,4331101,ECN, Electronic Circuits & Networks,RNP,Mr. R N Patel,4331101:  Electronic Circuits & Networks By Mr. R N Patel
2024,Odd,EC,3,,27/06/24,25/10/24,4331102,EMI, Electronic Measurements & Instruments,SPJ,Mr. S P Joshiara,4331102:  Electronic Measurements & Instruments By Mr. S P Joshiara
2024,Odd,EC,3,,27/06/24,25/10/24,4331103,IE, Industrial Electronics,RCP,Mr. R C Parmar,4331103:  Industrial Electronics By Mr. R C Parmar
2024,Odd,EC,3,,27/06/24,25/10/24,4331104,PEC, Principle of Electronic Communication,SJC,Mr. S J Chauhan,4331104:  Principle of Electronic Communication By Mr. S J Chauhan
2024,Odd,EC,3,,27/06/24,25/10/24,4331105,PC, Programming In C,RNP,Mr. R N Patel,4331105:  Programming In C By Mr. R N Patel
